search_key,matched_name,Main Story (h),Main + Sides (h),Completionist (h),All Styles (h),Co-Op (h),Vs (h)
undertale,Undertale,6.96,11.19,20.64,10.11,6.91,0.0
dead cells,Dead Cells,14.02,31.43,90.29,21.3,0.0,0.0
slay the spire,Slay the Spire,12.14,47.39,183.7,36.99,0.0,186.0
cuphead,Cuphead,10.45,16.07,27.27,15.61,14.42,0.0
people playground,People Playground,4.47,14.81,40.53,27.79,0.0,0.0
eternal return,Eternal Return,11.0,0.0,0.0,11.0,0.0,0.0
prison architect,Prison Architect,17.13,43.46,67.76,30.73,0.0,0.0
total war three kingdoms,Total War: Three Kingdoms,46.53,69.07,672.95,74.1,58.45,0.0
cry of fear,Cry of Fear,8.59,12.5,22.1,10.28,4.11,0.0
doom eternal,Doom Eternal,14.42,20.45,29.05,19.28,3.5,10.02
scum,Scum,0.0,14.0,34.25,24.12,22.18,0.0
z battle royale test server,Z1 Battle Royale,68.63,138.77,0.0,105.99,0.0,81.94
splitgate arena warfare,Splitgate: Arena Warfare,26.8,61.59,355.15,93.5,9.7,42.48
halflife episode one,Half,0.0,0.0,0.0,0.0,0.0,0.0
stumble guys,Stumble Guys,1.29,7.72,18.86,10.79,0.0,11.54
halflife deathmatch source,Half,0.0,0.0,0.0,0.0,0.0,0.0
neverwinter,Neverwinter,49.88,103.88,313.84,89.79,51.81,32.09
doki doki literature club,Doki Doki Literature Club Plus!,4.6,8.13,14.82,8.08,9.31,0.0
football manager 00,Football Manager 2009,129.85,265.88,440.03,164.46,0.0,0.0
v rising,V Rising,46.51,65.54,92.26,66.0,78.82,80.0
deep rock galactic,Deep Rock Galactic,44.61,136.6,495.39,113.95,97.54,0.0
russian fishing,Russian Fishing 4,0.0,0.0,0.0,0.0,0.0,0.0
business tour board game with online multiplayer,Business Tour,5.11,0.0,0.0,5.11,2.0,6.77
halflife episode two,Half,0.0,0.0,0.0,0.0,0.0,0.0
divinity original sin definitive edition,Divinity: Original Sin II,59.37,101.23,156.21,101.66,97.59,0.0
rimworld,RimWorld,62.52,116.58,312.63,102.73,70.0,0.0
the cycle frontier,The Cycle: Frontier,5.79,20.0,1821.47,191.97,0.0,53.38
dying light stay human reloaded edition,Dying Light 2: Stay Human,24.36,48.78,102.38,42.68,37.56,0.0
hitman,Hitman,10.71,23.75,91.66,18.44,0.0,0.0
titanfall,Titanfall,6.56,30.64,71.9,13.34,16.38,48.59
infestation the new z,Infestation: The New Z,0.0,0.0,0.0,0.0,52.03,13.3
counterstrike nexon studio,Counter-Strike 2,121.25,365.22,770.33,414.3,305.67,723.15
little nightmares,Little Nightmares,3.57,5.15,8.98,4.3,4.91,2.01
postal,Postal,2.49,3.69,13.72,4.07,0.0,0.0
adventure capitalist,AdVenture Capitalist,45.23,109.47,191.09,162.95,0.0,0.0
tom clancys the division,Tom Clancy's The Division 2,26.01,48.17,95.67,42.35,52.49,14.64
thehunter call of the wild,The Hunter: Call of the Wild,25.77,78.48,199.57,52.6,57.0,0.0
grand theft auto enhanced,Grand Theft Auto V,32.06,51.29,87.9,45.33,193.4,143.44
conan exiles,Conan Exiles,41.76,116.1,129.54,92.95,79.93,0.0
dark souls ii,Dark Souls II,43.05,62.39,120.3,61.79,35.18,63.49
dave the diver,Dave the Diver,25.03,33.66,50.42,35.02,0.0,0.0
for honor,For Honor,7.04,10.95,18.25,8.42,15.62,64.61
loadout,Loadout,2.39,60.0,0.0,12.3,0.0,89.88
middleearth shadow of mordor,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
mount and blade warband,Mount & Blade: Warband,74.27,111.45,237.67,120.9,3643.0,244.58
grand theft auto the complete edition,Grand Theft Auto IV: The Complete Edition,30.75,52.92,101.21,47.84,5.0,2.0
ready or not,Ready or Not,15.93,28.68,58.33,23.9,29.11,45.0
apb reloaded,APB: Reloaded,39.0,102.56,145.0,98.67,219.43,270.8
call of duty,Call of Duty,6.87,8.83,9.92,7.22,0.0,14.83
stray,Stray,5.13,6.62,10.28,6.44,0.0,0.0
fishing planet,Fishing Planet,4.62,0.0,100.03,16.67,30.72,0.0
just cause,Just Cause,8.39,19.53,30.59,12.41,0.0,0.0
braveland,Braveland,3.48,4.55,6.31,4.9,0.0,0.0
dcs world steam edition,Digital Combat Simulator World,0.0,0.0,0.0,0.0,0.0,0.0
god of war,God of War,20.56,32.87,51.07,32.85,0.0,0.0
crossout,Crossout,0.0,0.0,0.0,0.0,27.54,289.48
metro 0 redux,Metro 2033 Redux,9.07,11.53,23.65,10.62,0.0,0.0
assassins creed odyssey,Assassin's Creed Odyssey,45.58,85.25,145.41,94.98,82.0,0.0
poppy playtime,Poppy Playtime,0.9,1.35,1.65,1.12,0.0,0.0
saints row reelected,Saints Row,12.59,26.62,52.48,22.83,26.21,0.0
bloons td,Bloons TD,0.84,1.16,0.94,1.0,0.0,0.0
darkest dungeon,Darkest Dungeon,56.84,85.16,128.14,80.38,0.0,0.0
saints row the third,Saints Row: The Third,15.37,27.43,45.2,26.03,29.44,1.0
split fiction,Split Fiction,13.3,14.4,15.86,14.37,14.31,0.0
albion online,Albion Online,10.0,37.3,199.2,64.77,46.02,120.95
starbound,Starbound,24.9,58.37,166.69,52.34,42.87,0.0
stellaris,Stellaris,32.31,89.33,339.1,83.65,49.0,375.0
divide by sheep,Divide By Sheep,4.65,5.72,7.55,6.46,0.0,0.0
totally accurate battle simulator,Totally Accurate Battle Simulator,8.82,16.34,30.7,16.29,0.0,0.0
magicka,Magicka,10.4,16.06,46.42,13.21,14.51,0.0
final fantasy 0iv online,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
the descendant,The Descendant,5.65,6.2,10.03,6.27,0.0,0.0
need for speed heat,Need For Speed Heat,13.94,25.24,51.28,24.35,26.97,3.88
killing floor,Killing Floor,18.12,62.33,295.79,58.95,65.33,4.69
frostpunk,Frostpunk,10.61,25.01,56.33,16.22,0.0,0.0
starfield,Starfield,23.58,74.52,148.14,70.28,0.0,0.0
star wars battlefront i classic 00,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
age of empires i definitive edition,Age of Empires II: Definitive Edition,42.61,116.21,221.42,92.68,44.26,327.33
call of duty modern warfare 0,Call of Duty,6.87,8.83,9.92,7.22,0.0,14.83
alien swarm,Alien Swarm,3.53,10.7,19.27,7.23,10.63,11.0
the elder scrolls oblivion remastered,The Elder Scrolls IV: Oblivion Remastered,16.99,52.24,92.37,52.92,0.0,0.0
amnesia the dark descent,Amnesia: The Dark Descent,7.95,9.09,11.63,8.47,6.68,999.0
ftl faster than light,FTL: Faster Than Light,12.28,31.64,112.97,25.77,0.0,0.0
tabletop simulator,Tabletop Simulator,7.49,146.19,2086.94,182.74,129.85,13.27
battlerite,Battlerite,33.25,0.0,43.4,34.67,87.0,56.85
enter the gungeon,Enter the Gungeon,22.6,62.2,160.2,69.02,43.37,0.0
survarium,Survarium,0.0,0.0,0.0,0.0,150.73,34.57
hades i,Hades II,25.55,42.79,106.06,43.45,0.0,0.0
the witcher assassins of kings enhanced edition,The Witcher,35.26,45.97,63.48,46.46,0.0,0.0
crosshair 0,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
distraint deluxe edition,Distraint,2.1,2.35,2.65,2.35,0.0,0.0
resident evil illage,Resident Evil Village,9.89,12.85,38.53,12.4,9.84,0.0
house flipper,House Flipper,12.97,27.37,46.99,25.53,0.0,0.0
call of duty black ops i,Call of Duty: Black Ops II,7.06,10.6,30.89,8.38,93.55,161.92
star wars jedi fallen order,Star Wars Jedi: Fallen Order,17.24,22.27,31.73,22.06,30.0,0.0
inside,Inside,3.56,4.04,4.69,4.01,0.0,0.0
party animals,Party Animals,5.1,7.74,107.42,17.5,10.0,10.06
the lord of the rings online,The Lord of the Rings Online,148.59,266.9,1638.5,588.31,184.01,0.0
